Id,Label,Region
965,965,Unsampled
hCoV-19/Canada/AB-Z0001/2020|EPI_ISL_504185|2020-05-13,hCoV-19/Canada/AB-Z0001/2020|EPI_ISL_504185|2020-05-13,AB
hCoV-19/Canada/AB-Z0002/2020|EPI_ISL_515466|2020-07-15,hCoV-19/Canada/AB-Z0002/2020|EPI_ISL_515466|2020-07-15,AB
1230,1230,Unsampled
hCoV-19/Canada/ON-OICR-SLB2793/2020|EPI_ISL_538327|2020-03-27,hCoV-19/Canada/ON-OICR-SLB2793/2020|EPI_ISL_538327|2020-03-27,ON
1109,1109,Unsampled
hCoV-19/Canada/QC-LSPQ-L00242018/2020|EPI_ISL_536303|2020-03-28,hCoV-19/Canada/QC-LSPQ-L00242018/2020|EPI_ISL_536303|2020-03-28,QC
1304,1304,Unsampled
hCoV-19/Canada/MB_37/2020|EPI_ISL_429818|2020-03-18,hCoV-19/Canada/MB_37/2020|EPI_ISL_429818|2020-03-18,MB
1049,1049,Unsampled
hCoV-19/Canada/ON_QGLO-017/2020|EPI_ISL_459874|2020-03-27,hCoV-19/Canada/ON_QGLO-017/2020|EPI_ISL_459874|2020-03-27,ON
hCoV-19/Canada/QC-LSPQ-L00216478/2020|EPI_ISL_535749|2020-03-12,hCoV-19/Canada/QC-LSPQ-L00216478/2020|EPI_ISL_535749|2020-03-12,QC
hCoV-19/Canada/ON-OICR-SLB2819/2020|EPI_ISL_538347|2020-04-02,hCoV-19/Canada/ON-OICR-SLB2819/2020|EPI_ISL_538347|2020-04-02,ON
hCoV-19/Canada/ON_QGLO-039/2020|EPI_ISL_459890|2020-03-29,hCoV-19/Canada/ON_QGLO-039/2020|EPI_ISL_459890|2020-03-29,ON
hCoV-19/Canada/ON_QGLO-026/2020|EPI_ISL_459882|2020-03-28,hCoV-19/Canada/ON_QGLO-026/2020|EPI_ISL_459882|2020-03-28,ON
hCoV-19/Canada/ON_QGLO-024/2020|EPI_ISL_459880|2020-03-28,hCoV-19/Canada/ON_QGLO-024/2020|EPI_ISL_459880|2020-03-28,ON
1145,1145,Unsampled
