Source,Target
965,hCoV-19/Canada/AB-Z0001/2020|EPI_ISL_504185|2020-05-13
hCoV-19/Canada/AB-Z0001/2020|EPI_ISL_504185|2020-05-13,hCoV-19/Canada/AB-Z0002/2020|EPI_ISL_515466|2020-07-15
1230,hCoV-19/Canada/ON-OICR-SLB2793/2020|EPI_ISL_538327|2020-03-27
1109,hCoV-19/Canada/QC-LSPQ-L00242018/2020|EPI_ISL_536303|2020-03-28
1304,hCoV-19/Canada/MB_37/2020|EPI_ISL_429818|2020-03-18
1049,hCoV-19/Canada/ON_QGLO-017/2020|EPI_ISL_459874|2020-03-27
hCoV-19/Canada/QC-LSPQ-L00216478/2020|EPI_ISL_535749|2020-03-12,hCoV-19/Canada/ON-OICR-SLB2819/2020|EPI_ISL_538347|2020-04-02
hCoV-19/Canada/ON-OICR-SLB2819/2020|EPI_ISL_538347|2020-04-02,hCoV-19/Canada/ON_QGLO-039/2020|EPI_ISL_459890|2020-03-29
hCoV-19/Canada/ON_QGLO-026/2020|EPI_ISL_459882|2020-03-28,hCoV-19/Canada/ON_QGLO-024/2020|EPI_ISL_459880|2020-03-28
1145,hCoV-19/Canada/ON_QGLO-026/2020|EPI_ISL_459882|2020-03-28
hCoV-19/Canada/ON_QGLO-026/2020|EPI_ISL_459882|2020-03-28,hCoV-19/Canada/ON_QGLO-025/2020|EPI_ISL_459881|2020-03-28
1369,hCoV-19/Canada/QC-LSPQ-L00216478/2020|EPI_ISL_535749|2020-03-12
hCoV-19/Canada/QC-LSPQ-L00237135/2020|EPI_ISL_536166|2020-03-25,hCoV-19/Canada/ON-OICR-SLB2791/2020|EPI_ISL_538325|2020-03-25
1085,hCoV-19/Canada/QC-LSPQ-L00237078/2020|EPI_ISL_536158|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00237078/2020|EPI_ISL_536158|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237091/2020|EPI_ISL_536160|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00233398/2020|EPI_ISL_536022|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00237135/2020|EPI_ISL_536166|2020-03-25
1211,hCoV-19/Canada/QC-LSPQ-L00233398/2020|EPI_ISL_536022|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00238226/2020|EPI_ISL_536205|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00215817/2020|EPI_ISL_535739|2020-03-12
